,epoch,loss,loss_test
0,0.0,9.306934189796449,8.08277769904723
1,1.0,7.409698975086212,6.951600612803576
2,2.0,6.251456462144851,5.935566063233238
3,3.0,5.218763929605484,5.056760721665652
4,4.0,4.476590216755867,4.392107843715239
5,5.0,3.965080499649048,4.016262825797586
6,6.0,3.613189494609833,3.8505160693816323
7,7.0,3.3233795374631883,3.710958809776102
8,8.0,3.095352145433426,3.3682920575779387
9,9.0,2.9098391491174698,3.344660716898301
10,10.0,2.756860817074776,3.2415443920196694
11,11.0,2.630873988866806,3.113954671563949
12,12.0,2.496935415863991,3.0026824359587807
13,13.0,2.3957073885202407,3.086210781240208
14,14.0,2.2913998687267303,2.954803564969231
15,15.0,2.218157868385315,2.7680641865347795
16,16.0,2.12664331138134,2.7852026511003625
17,17.0,2.051487872004509,2.7050282572679976
18,18.0,1.9774927127361297,2.7751465723476305
19,19.0,1.9208946692943574,2.6829648209128147
20,20.0,1.8663621133565904,2.638587653318191
21,21.0,1.815958076119423,2.6428577810685265
22,22.0,1.7652543663978577,2.56695142659274
23,23.0,1.7278260436654092,2.5749628365358563
24,24.0,1.671168114244938,2.4806110820668263
25,25.0,1.6473260679841042,2.517012477558564
26,26.0,1.584056087732315,2.4514417769437165
27,27.0,1.5558786052465439,2.4003982945559494
28,28.0,1.5278202292323113,2.403486997048485
29,29.0,1.4952543544769288,2.347104618256105
30,30.0,1.4616569063067437,2.362156996115006
31,31.0,1.4313875809311867,2.4001126098122825
32,32.0,1.408349812924862,2.3599407985248666
33,33.0,1.3900668498873712,2.3392641907707254
34,34.0,1.3644619476795197,2.571468014130618
35,35.0,1.34557170689106,2.2899507966271058
36,36.0,1.3138279432058335,2.2984242235275514
37,37.0,1.3161884328722955,2.2772683944294156
38,38.0,1.280552291572094,2.2813388466197537
39,39.0,1.2731428968906402,2.265143401482526
40,40.0,1.2511993756890296,2.2508941767687465
41,41.0,1.2470927619934082,2.2358709962610255
42,42.0,1.2194866973161698,2.261352868003641
43,43.0,1.211615454852581,2.3404572838767965
44,44.0,1.2002391549944877,2.2099631954641903
45,45.0,1.1909835022687911,2.231195410942649
46,46.0,1.179020508825779,2.188782151370125
47,47.0,1.1623716300725937,2.1697353252115095
48,48.0,1.1602331018447876,2.2030097360916954
49,49.0,1.1448495236039162,2.19027894894707
50,50.0,1.1336446158587934,2.175711685960943
51,51.0,1.1274797309935094,2.1719889800178813
52,52.0,1.122701292037964,2.203541635192014
53,53.0,1.1109168088436128,2.1612363645737185
54,54.0,1.102238425165415,2.1661767232864295
55,55.0,1.0887896655499936,2.1544827108077187
56,56.0,1.0872385659813881,2.153589371691413
57,57.0,1.0839472667872907,2.1459543915355908
58,58.0,1.0815495210886001,2.1478322444752576
59,59.0,1.0744831956923009,2.138047077439048
60,60.0,1.055797891318798,2.1291893433759554
61,61.0,1.0653006114065646,2.1263467985041
62,62.0,1.055712905973196,2.1517118355807137
63,63.0,1.04535510212183,2.142391479589085
64,64.0,1.0357795888185501,2.12006988882381
65,65.0,1.0411191569268703,2.318223283252614
66,66.0,1.0320175325870513,2.1428315894488983
67,67.0,1.0203983810544015,2.0907225895692956
68,68.0,1.0148806935548782,2.100461008714482
69,69.0,1.0176229566335677,2.136817135275366
70,70.0,1.011031724512577,2.115144920859107
71,71.0,1.0099881529808044,2.1461449153920547
72,72.0,1.012603960186243,2.173241189456878
73,73.0,1.0004052709043025,2.106887455292564
74,74.0,0.8911894197762013,1.9647442606043688
75,75.0,0.8512883426249027,1.9560210405186536
76,76.0,0.8392751333117485,1.950375275178389
77,77.0,0.8318793705105781,1.9453867100139353
78,78.0,0.8247042538225651,1.9478025570272761
79,79.0,0.8236665844917298,1.9563367156421436
80,80.0,0.818874059766531,1.9521853401061684
81,81.0,0.8173222623765469,1.9610425839449632
82,82.0,0.8157957214117051,1.9637234746453596
83,83.0,0.8136860185861587,1.9638303008309022
84,84.0,0.8089145170152188,1.9585668957807163
85,85.0,0.8066327472031116,1.9642655148225672
86,86.0,0.8055984933674336,1.965582517379108
87,87.0,0.8045492461323738,1.9627611885733782
88,88.0,0.8044368648529053,1.9658668468342744
89,89.0,0.8030656982958317,1.9701653062341047
90,90.0,0.8025679157674313,1.9730860989361523
91,91.0,0.8021365295350552,1.974974892356179
92,92.0,0.8011270383000374,1.97823706221453
93,93.0,0.800162346214056,1.9755845943236732
94,94.0,0.7994941008090973,1.973845597256951
95,95.0,0.7983326800167561,1.9761211986847738
96,96.0,0.7986372642219067,1.9829409409334313
97,97.0,0.798548466861248,1.9805398267858167
98,98.0,0.7981602630019188,1.9833564267439
99,99.0,0.7976532861590385,1.9869270681697415
100,100.0,0.797038494348526,1.984471984088102
101,101.0,0.7966878220438958,1.99033072606765
102,102.0,0.7946412062644959,1.9851275586826915
103,103.0,0.795716386437416,1.9876476832252135
104,104.0,0.7960165548324585,1.993524105791102
105,105.0,0.7947028651833534,1.9943069296087172
106,106.0,0.7945764787495136,1.9924748160622336
107,107.0,0.7935540319979191,1.9914117541542664
108,108.0,0.7937482818961143,1.991808639490668
109,109.0,0.7938875849545002,1.9938932325750747
110,110.0,0.7932428665459156,1.9925642880526455
111,111.0,0.7945027735829353,1.997652086982115
112,112.0,0.7931268894672394,1.9953721360089307
113,113.0,0.7934563666582107,2.0064803712508255
114,114.0,0.7930149735510349,1.9977700716671458
115,115.0,0.791649381518364,1.9957410836602276
116,116.0,0.792425724118948,1.9991307022737308
117,117.0,0.792295705974102,2.002330915175657
118,118.0,0.7905695503950119,2.0010124489585346
119,119.0,0.7916492542624474,2.0034274595944
120,120.0,0.7912068665027618,2.005608839147231
121,121.0,0.7902404026687145,2.012057520489004
122,122.0,0.7907235397398472,2.0048564844590455
123,123.0,0.7912045902013779,2.00912822822836
124,124.0,0.7904960303008557,2.0067068108900346
125,125.0,0.7919788557291031,2.0043617410455794
126,126.0,0.7901021584868432,2.008697426255374
127,127.0,0.7896862044930458,2.0124556393546853
128,128.0,0.79014155164361,2.010805049682046
129,129.0,0.7898965752124787,2.0098537302272206
130,130.0,0.7899208453297615,2.0128308368876655
131,131.0,0.789232180416584,2.019879591656241
132,132.0,0.7895976150035858,2.0115263972052913
133,133.0,0.7890818536281586,2.0097933153417658
134,134.0,0.7893884758651257,2.012910348846313
135,135.0,0.7891642610728741,2.0142649832893817
136,136.0,0.787716104388237,2.014195975772837
137,137.0,0.7870592911541462,2.016762856493659
138,138.0,0.7893510505557061,2.01162368664767
139,139.0,0.7895844070613385,2.0153713232693184
140,140.0,0.7896138225495816,2.013857432227721
141,141.0,0.7891308134794235,2.0173069085666837
142,142.0,0.7892538471519948,2.0173391269490044
143,143.0,0.7883486187458039,2.025111008455409
144,144.0,0.7877259323000908,2.0206163057031477
145,145.0,0.7881312610208988,2.018604441760058
146,146.0,0.787531017959118,2.02307207699128
147,147.0,0.7873674939572811,2.0214519985219375
148,148.0,0.7883387543261051,2.0262295473068153
149,149.0,0.7870539477467537,2.021724899184895
150,150.0,0.7881060783565045,2.023187396360591
151,151.0,0.7882836563885212,2.02078420975629
152,152.0,0.787718512415886,2.0218686184143637
153,153.0,0.7874269641935826,2.0243516140443116
154,154.0,0.7859261514246464,2.022657127303873
155,155.0,0.7875088761746883,2.0239921049638228
156,156.0,0.7877815341949463,2.024441237118155
157,157.0,0.7874740441143513,2.0228816914685908
158,158.0,0.7874844925105572,2.022463791510638
159,159.0,0.7868693119287491,2.026700697480676
160,160.0,0.7859242583811283,2.0287146134810015
161,161.0,0.7871197915077209,2.030358184467662
162,162.0,0.7864804668724537,2.0276759193542806
163,163.0,0.786200106292963,2.02695685784447
164,164.0,0.787535856217146,2.026829370202865
165,165.0,0.78741459608078,2.0298680232807915
166,166.0,0.7864610451459885,2.0314957311446653
167,167.0,0.785994471013546,2.0276393182774917
168,168.0,0.7863389612734318,2.0289666257440087
169,169.0,0.7866727918386459,2.0336522412172613
170,170.0,0.7857904390990734,2.030997799679557
171,171.0,0.7853103432059289,2.029233371510225
172,172.0,0.7859158883988857,2.0310232588314117
173,173.0,0.7861226207017898,2.0332790938290684
174,174.0,0.7852110643684864,2.0327305086156264
175,175.0,0.7872060269117356,2.0301347849840785
176,176.0,0.7864665408432484,2.03394273704386
177,177.0,0.7858472134172917,2.030615179933966
178,178.0,0.7860488857328892,2.034781176138689
179,179.0,0.7856704224646092,2.0351645519389185
180,180.0,0.7847364535927772,2.037178999599926
181,181.0,0.7862147289514542,2.0350897758402287
182,182.0,0.7855498085916043,2.0369225192197504
183,183.0,0.7862586909532547,2.033715074075097
184,184.0,0.785647928416729,2.0356577163074103
